,R_fighter,B_fighter,winner,weight_class,no_of_rounds,R_age,R_Height_cms,R_Reach_cms,B_age,B_Height_cms,B_Reach_cms
3174,Jeff Curran,Johnny Eduardo,Blue,Bantamweight,3,34.0,167.64,175.26,33.0,170.18,180.34
3175,Alex Soto,Francisco Rivera,Blue,Bantamweight,3,28.0,172.72,180.34,30.0,172.72,172.72
3176,Nate Diaz,Jim Miller,Red,Lightweight,5,27.0,182.88,193.04,28.0,172.72,180.34
3177,Josh Koscheck,Johny Hendricks,Blue,Welterweight,3,34.0,177.8,185.42,28.0,175.26,175.26
3178,Rousimar Palhares,Alan Belcher,Blue,Middleweight,3,32.0,172.72,180.34,28.0,187.96,185.42
3179,Pat Barry,Lavar Johnson,Blue,Heavyweight,3,32.0,180.34,187.96,34.0,193.04,208.28
3180,Tony Ferguson,Michael Johnson,Blue,Lightweight,3,28.0,180.34,193.04,25.0,177.8,185.42
3181,John Dodson,Tim Elliott,Red,Flyweight,3,27.0,160.02,167.64,25.0,170.18,167.64
3182,John Hathaway,Pascal Krauss,Red,Welterweight,3,24.0,185.42,190.5,25.0,185.42,182.88
3183,Louis Gaudinot,John Lineker,Red,Flyweight,3,27.0,160.02,160.02,21.0,160.02,170.18
3184,Danny Castillo,John Cholish,Red,Lightweight,3,32.0,175.26,180.34,28.0,180.34,182.88
3185,Dennis Bermudez,Pablo Garza,Red,Featherweight,3,25.0,167.64,167.64,28.0,185.42,185.42
3186,Roland Delorme,Nick Denis,Red,Bantamweight,3,28.0,175.26,180.34,28.0,170.18,182.88
